"filename", "language", "Python", "Ini", "C++", "Markdown", "comment", "blank", "total"
"c:\Users\carlr\Documents\seniorProject\README.md", "Markdown", 0, 0, 0, 24, 0, 12, 36
"c:\Users\carlr\Documents\seniorProject\platformio.ini", "Ini", 0, 4, 0, 0, 9, 2, 15
"c:\Users\carlr\Documents\seniorProject\src\commandCenter.cpp", "C++", 0, 0, 42, 0, 3, 9, 54
"c:\Users\carlr\Documents\seniorProject\src\comms\bridge.py", "Python", 31, 0, 0, 0, 7, 17, 55
"c:\Users\carlr\Documents\seniorProject\src\config.py", "Python", 12, 0, 0, 0, 2, 4, 18
"c:\Users\carlr\Documents\seniorProject\src\learningTests\arduinoBridge.cpp", "C++", 0, 0, 0, 0, 24, 6, 30
"c:\Users\carlr\Documents\seniorProject\src\learningTests\cameraTests.py", "Python", 10, 0, 0, 0, 3, 5, 18
"c:\Users\carlr\Documents\seniorProject\src\learningTests\communicator.py", "Python", 12, 0, 0, 0, 1, 5, 18
"c:\Users\carlr\Documents\seniorProject\src\learningTests\controllerInput.py", "Python", 19, 0, 0, 0, 4, 7, 30
"c:\Users\carlr\Documents\seniorProject\src\learningTests\joystickCalls.py", "Python", 91, 0, 0, 0, 26, 36, 153
"c:\Users\carlr\Documents\seniorProject\src\learningTests\videoTests.py", "Python", 18, 0, 0, 0, 3, 8, 29
"c:\Users\carlr\Documents\seniorProject\src\main.py", "Python", 10, 0, 0, 0, 3, 4, 17
"c:\Users\carlr\Documents\seniorProject\src\motorControl\controller.py", "Python", 45, 0, 0, 0, 8, 18, 71
"c:\Users\carlr\Documents\seniorProject\src\motorControl\coordTravel.py", "Python", 43, 0, 0, 0, 2, 16, 61
"c:\Users\carlr\Documents\seniorProject\src\motorControl\homing.py", "Python", 92, 0, 0, 0, 9, 29, 130
"c:\Users\carlr\Documents\seniorProject\src\motorControl\motorMove.cpp", "C++", 0, 0, 63, 0, 15, 15, 93
"c:\Users\carlr\Documents\seniorProject\src\motorControl\motorMove.h", "C++", 0, 0, 7, 0, 0, 3, 10
"c:\Users\carlr\Documents\seniorProject\src\vision\detectPuck.py", "Python", 33, 0, 0, 0, 9, 13, 55
"c:\Users\carlr\Documents\seniorProject\src\vision\puck.py", "Python", 118, 0, 0, 0, 18, 41, 177
"c:\Users\carlr\Documents\seniorProject\src\vision\visionUtil.py", "Python", 75, 0, 0, 0, 13, 30, 118
"Total", "-", 609, 4, 112, 24, 159, 280, 1188